"index","사건번호","소재지","용도","감정가","최저가","상태","매각기일"
"0","수원 17계 2018-19100","경기도 수원시 팔달구 매향동 10-27 [건물 43.0평] [토지 68.97평] [제시외물건포함]","주택","442,968,900","310,078,000","진행 70%","2019.08.06"
"1","수원 17계 2018-23345","경기도 수원시 권선구 구운동 462 삼환 15동 8층 803호 [건물 22.3평] [토지 11.19평]","아파트","210,000,000","147,000,000","진행 70%","2019.08.06"
"2","수원 17계 2019-500344","경기도 수원시 장안구 조원동 676-8 포레스트빌 12층 1204호 [건물 25.3평] [토지 6.68평]","아파트","253,000,000","","신건","2019.08.06"
"3","수원 11계 2018-517987","경기도 수원시 장안구 천천동 544 삼성래미안 109동 5층 503호 [건물 18.1평] [토지 9.08평]","아파트","284,000,000","198,800,000","진행 70%","2019.08.07"
"4","수원 11계 2019-500597","경기도 수원시 팔달구 우만동 138 신성미소지움 101동 8층 802호 [건물 25.6평] [토지 10.80평]","아파트","311,000,000","취하","취하","2019.08.07"
"5","수원 16계 2018-24874","경기도 수원시 권선구 세류동 1147 미영 105동 4층 410호 [건물 14.1평] [토지 12.10평]","아파트","174,000,000","","재진행","2019.08.08"
"6","수원 16계 2019-502548","경기도 수원시 권선구 권선동 1050 10층 1012호 [건물 24.1평] [토지 9.08평]","아파트","190,000,000","133,000,000","진행 70%","2019.08.08"
"7","수원 1계 2019-158","경기도 수원시 장안구 정자동 304 동신 301동 1층 105호 [건물 20.9평] [토지 10.29평]","아파트","182,000,000","127,400,000","진행 70%","2019.08.09"
"8","수원 1계 2019-3065","경기도 수원시 권선구 서둔동 130-4 [건물 55.9평] [토지 38.12평] [제시외물건포함]","아파트","395,516,380","276,861,000","진행 70%","2019.08.09"
"9","수원 2계 2019-783","경기도 수원시 권선구 오목천동 542 청구1차 105동 3층 304호 [건물 1,583.4평] [토지 9.38평]","아파트","190,000,000","취하","취하","2019.08.13"
